item_id,part_number,manufacturer,brand,category,type,price_1,price_2,price_3,description,ignore,cut_sheet,haystack
96358.0,NPB-8000-2X-485,TRIDIUM,ACTIVE LOGIX,CONTROLLER,JACE,$102.18,$1.00,$102.18,DUAL CARD. Gives to additional MSTP / RS-485 Ports to a Jace Controller.,,C:\Work\CutSheets\95-7778.pdf,"{'controller': True, 'point': True}"
96360.0,IO-R-16,TRIDIUM,ACTIVE LOGIX,CONTROLLER,JACE,$181.75,$1.00,$181.75,NRIO Module for Jace Controller. 8 Universal Inputs / 4 Relay Outputs / 4 Analog Outputs,,C:\Work\CutSheets\JACE 8000 IO data sheet Tri.pdf,"{'controller': True, 'point': True, 'relay': True}"
96361.0,IO-R-34,TRIDIUM,ACTIVE LOGIX,CONTROLLER,JACE,$381.90,$1.00,$381.90,NDIO Module for Jace Controller. 16 Universal Inputs / 8 Relay Outputs / 8 Analog Outputs,,C:\Work\CutSheets\JACE 8000 IO data sheet Tri.pdf,"{'controller': True, 'point': True, 'relay': True}"
96409.0,BPS-015,DWYER,ALPS,POWER SUPPLY,DC,$16.69,$1.00,$16.69,1.5 AMP DC POWER SUPPLY,,C:\Work\CutSheets\BPS-015.i.pdf,{'power': True}
96425.0,A/CP-SP,ACI,ALPS,TEMPERATURE,WALL,$6.88,$1.00,$6.88,10K Type II Stainless Wall Plate Temperature Sensor.,,C:\Work\CutSheets\TEMP_WALLPLATE_ACI_10k2.pdf,"{'sensor': True, 'temp': True}"
96426.0,BA/10K-2-TB-M304-4-BB,BAPI,ALPS,TEMPERATURE,WALL,$79.00,$1.00,$79.00,This is our standard Walk In Cooler and Freezer sensor.,,C:\Work\CutSheets\19817_ins_thermo_buffer.pdf,"{'sensor': True, 'temp': True}"
96427.0,A/CP-D-6-GD,ACI,ALPS,TEMPERATURE,DUCT,$8.44,$1.00,$8.44,Company Standard - 10k2_Duct,,C:\Work\CutSheets\ACI_Thermistor.pdf,"{'sensor': True, 'temp': True}"
96389.0,AFS-222,CLEVELAND,ALPS,PRESSURE,DPS,$20.82,$1.00,$20.82,"Cleveland Controls adjustable air differential switch, auto reset. This is our standard air switch used for filter switch or fan switch applications",,C:\Work\CutSheets\LT-AFS-222-08.pdf,"{'sensor': True, 'pressure': True}"
96390.0,AFS-460,CLEVELAND,ALPS,PRESSURE,DPS,$28.84,$1.00,$28.84,"Adjustable air differential switch, manual reset. ",,C:\Work\CutSheets\LT-AFS-460-10.pdf,"{'sensor': True, 'pressure': True}"
96437.0,NC-8005,TRIDIUM,ACTIVE LOGIX,CONTROLLER,JACE,$726.28,$1.00,$726.28,"JACE 8000 Controller, microSD card, 2 10/100 Mb Ethernet ports, 2 RS-485 serial ports. Licensed for 5 Device/250 Point Limit. Includes standard open drivers.",,C:\Work\CutSheets\JACE 8000 data sheet (1).pdf,"{'controller': True, 'point': True}"
